Internal key	English source	Translation	Placeholders
$Whereabouts_Section	Whereabouts		
$Whereabouts_SearchPage	Search		
$Whereabouts_LocationsPage	Locations		
$Whereabouts_TrackedPage	Tracked NPCs		
$Whereabouts_FavoritesPage	Favorites		
$Whereabouts_RecentPage	Recent		
$Whereabouts_SettingsPage	Settings		
$Whereabouts_SearchHeading	Search and select		
$Whereabouts_SearchInput	NPC name or ID		
$Whereabouts_SearchCombinedInput	NPC or location name or ID		
$Whereabouts_SearchContent	Search content		
$Whereabouts_NpcsOnly	NPCs only		
$Whereabouts_NpcsAndLocations	NPCs and locations		
$Whereabouts_LocationsOnly	Locations only		
$Whereabouts_ResultOrder	Result order		
$Whereabouts_NpcsFirst	NPCs first		
$Whereabouts_LocationsFirst	Locations first		
$Whereabouts_SearchLocations	Search locations		
$Whereabouts_LocationSearchInput	Location name or ID		
$Whereabouts_LocationSearchHelp	Search by cell name, EditorID, FormID, plugin, location, or worldspace.		
$Whereabouts_IncludeLocationsHelp	Also searches cells and travel destinations.		
$Whereabouts_PreparingSearchIndex	Preparing search index...		
$Whereabouts_SelectedLocation	Selected Location		
$Whereabouts_NoLocationSelected	No location selected.		
$Whereabouts_TravelToLocation	Travel to Location		
$Whereabouts_TravelLocationPrompt	Travel to this location?		
$Whereabouts_TravelLocationBody	Travel to {}? This closes the SKSE menu.		{}
$Whereabouts_TravelLocationHelp	Closes the menu, then asks Skyrim to load this cell.		
$Whereabouts_LocationType	Type		
$Whereabouts_LocationTravelQueued	Location travel queued.		
$Whereabouts_LocationTravelCancelled	Location travel cancelled.		
$Whereabouts_LocationGone	Location is no longer available.		
$Whereabouts_PlayerUnavailable	The player is not available.		
$Whereabouts_LocationTravelComplete	Location travel completed.		
$Whereabouts_LocationTravelFailed	Skyrim could not travel to that location.		
$Whereabouts_VirtualKeyboard	Virtual Keyboard		
$Whereabouts_UseConsoleTarget	Use Console Target		
$Whereabouts_UseCrosshairTarget	Use Crosshair Target		
$Whereabouts_ClearSelection	Clear Selection		
$Whereabouts_DidYouMean	Did you mean:		
$Whereabouts_FiltersAndSorting	Filters and sorting		
$Whereabouts_FiltersAndSortingActive	Filters and sorting ({} active)		{}
$Whereabouts_AdvancedFilters	Advanced filters		
$Whereabouts_AdvancedFiltersActive	Advanced filters ({} active)		{}
$Whereabouts_NoAdvancedFiltersActive	No advanced filters active.		
$Whereabouts_ActiveFilterNamedHeading	{} ({} active: {})		{} {} {}
$Whereabouts_EnableAdvancedFilters	Enable Advanced Filters		
$Whereabouts_EnableAdvancedFiltersHelp	Disabling this clears demographic, safety, spatial, worldspace, faction, and keyword filters.		
$Whereabouts_ShowActiveFilterNames	Show active filter names		
$Whereabouts_ShowActiveFilterNamesHelp	Shows active filter names in section headings; hover a heading for complete values.		
$Whereabouts_SelectedBodyResizeHelp	Drag to resize Commands and NPC Details.		
$Whereabouts_TextFilters	Text filters		
$Whereabouts_PluginContains	Plugin contains		
$Whereabouts_LocationContains	Location contains		
$Whereabouts_NpcStatus	NPC status		
